category,description,identifier,name,website
Computers Electronics and Technology,"1&1 IONOS is a web hosting company that provides a range of web hosting, domain registration, and website building services to individuals and businesses. They offer shared hosting, dedicated servers, VPS hosting, and cloud hosting solutions, as well as e-commerce tools, email hosting, and online marketing services.",1and1ionos,1&1 IONOS,https://www.ionos.com/
Finance,"ABSA (Amalgamated Banks of South Africa) is a South African financial services company that offers a wide range of banking and financial products and services to individuals, businesses, and commercial clients.",absa,Amalgamated Banks of South Africa,https://www.absa.co.za/
Computers Electronics and Technology,"Adobe is a technology company that creates software applications with a creative design edge, such as Photoshop, Acrobat Reader, and Adobe Creative Cloud.",adobe,Adobe,https://www.adobe.com/
eCommerce and Shopping,"Alibaba is a Chinese multinational technology company that specializes in e-commerce, retail, internet, and technology",alibaba,Alibaba,https://www.alibaba.com/
eCommerce and Shopping,"Amazon.com, Inc. is an American multinational technology company focusing on e-commerce, cloud computing, online advertising, digital streaming, and artificial intelligence.",amazon,Amazon,https://www.amazon.com/
Finance,"ANZ Bank is an Australian multinational banking and financial services company headquartered in Melbourne, Australia.",anzbank,ANZ Bank,https://www.anz.com.au/personal/
Email,AOL (America Online) is an American web portal and online service provider based in New York City.,aol,AOL (America Online),https://www.aol.com/
Computers Electronics and Technology,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California. It designs, develops, and sells consumer electronics, computer software, and online services.",apple,Apple,https://www.apple.com/
Computers Electronics and Technology,"Aruba Networks, formerly known as Aruba Wireless Networks, is a Santa Clara, California-based cloud based security networking subsidiary of Hewlett Packard Enterprise company.",aruba,Aruba Networks,https://www.arubacloud.com/
Telecommunications,"AT&T Inc. is an American multinational conglomerate holding company headquartered at Whitacre Tower in Downtown Dallas, Texas.",att,AAT&T Inc.,https://www.att.com/
Telecommunications,"""auone.jp"" is a website and online portal operated by KDDI Corporation, a Japanese telecommunications company.",auid,auone.jp,https://portal.auone.jp/
Finance,Intesa Sanpaolo S.p.A. is an Italian international banking group.,bancaintesasanpaolo,Banca Intesa Sanpaolo,https://www.intesasanpaolo.com/
Finance,-,bancoindustrial,Banco Industrial,https://www.corporacionbi.com/gt/bancoindustrial/
Finance,"Banco Itaú S.A. was a former Brazilian bank that merged with Unibanco on November 4, 2008, to form Banco Itaú Unibanco.",bancoitau,Banco Itaú,https://www.itau.com.br/
Finance,"Bancolombia S.A. is a full-service financial institution that provides financial products and services in Colombia, Panama, El Salvador, Puerto Rico, the Cayman Islands, Peru and Guatemala.",bancolombia,Bancolombia,https://www.bancolombia.com/
Finance,"The Bank of America Corporation is an American multinational investment bank and financial services holding company headquartered at the Bank of America Corporate Center in Charlotte, North Carolina, with investment banking and auxiliary headquarters in Manhattan. The bank was founded in San Francisco, California.",bankofamerica,Bank of America,https://www.bankofamerica.com/
Finance,-,banquepostale,La Banque Postale,https://www.labanquepostale.fr/
Finance,-,banreservas,Banreservas,https://www.banreservas.com/
Finance,-,bantrab,Bantrab,https://www.bantrab.com.gt/
Finance,-,bdobank,Banco de Oro,https://www.bdo.com.ph/
Computers Electronics and Technology,"BIGLOBE is one of the leading internet service providers in Japan, operated by NEC BIGLOBE, Ltd., a 2006 spin-off from NEC.",biglobe,BIGLOBE,https://www.biglobe.ne.jp/
Telecommunications,-,bimcell,Bimcell,https://www.bimcell.com.tr/
Finance,"BPER Banca S.p.A., formerly known as Banca Popolare dell'Emilia Romagna S.C., is an Italian banking group offering traditional banking services to individuals, corporate and public entities. The company is based in Modena and is a constituent of the FTSE MIB index.",bperbanca,BPER Banca,https://www.bper.it/
Telecommunications,"BT Group plc is a British multinational telecommunications holding company headquartered in London, England. It has operations in around 180 countries and is the largest provider of fixed-line, broadband and mobile services in the UK, and also provides subscription television and IT services.",bt,BT,https://www.bt.com/
Finance,Chainlink is a decentralized blockchain oracle network built on Ethereum.,chainlink,Chainlink,https://chain.link/
Finance,"JPMorgan Chase Bank, N.A., doing business as Chase, is an American national bank headquartered in New York City, that constitutes the consumer and commercial banking subsidiary of the U.S. multinational banking and financial services holding company, JPMorgan Chase.",chase,Chase Bank,https://www.chase.com/
Finance,"Citibank, N. A. is the primary U.S. banking subsidiary of financial services multinational Citigroup. Citibank was founded in 1812 as the City Bank of New York, and later became First National City Bank of New York.",citibank,Citibank,https://www.citi.com/
